,review,Complain Label,Emotion,Sentiment,Severity
0,12499 रुपये उत्कृष्ट प्रदर्शन। हेलो दोस्तों मैं पिछले 1 महीने इस्तेमाल हूं इसने मुझे कैमरा क्वालिटी बैटरी लाइफ फिंगरप्रिंट रीडर उत्कृष्ट प्रदर्शन है। फोन सेगमेंट बेहतरीन फीचर हैं। मैंने 6 महीने नो कॉस्ट ईएमआई 12499 रुपये खरीदा था।,0,joy,positive,non-complaint
1,"samsung bluff master !!! . second time got bluffed. got "" write protected"" itself. readable pc even can't format delete anything it.as stored data confidential even can't take samsung service center. nutshell,its samsung's unfair practise make product way, innocent customer buy & again. disappointed !!!!!",1,sadness,negative,blame
2,galaxym12 exilent ... five star :sparkles::sparkles::sparkles::sparkles::sparkles: . grand display nd big display... amazing fingerprint button :radio_button:...superb touch screen....nyc color ..bettery backup life longer ... camera :camera_with_flash: quality good....,0,joy,positive,non-complaint
3,સારું ઉત્પાદન 64GB સંપૂર્ણ જગ્યા કાર્ડમાં શ્રેષ્ઠ બાબત ગુણવત્તા સારી,0,joy,positive,non-complaint
4,सैमसंग खरीदारी पूरी पैसे बर्बादी है। सैमसंग दयनीय अनुभव। सच एंड्राइड सैमसंग जीरो मैं सैमसंग ब्रांड फोन खरीदने सलाह दूंगा पैसे बर्बादी moneybag मैं सैमसंग ब्रांड 3 फोन लाया हूं फोन हैंगिंग फोन गर्म नेट स्लो snail बग्स समस्या। बार बार,1,disgust,negative,blame
5,super awesome :ok_hand: fits absolutely perfect new honda city gen5 . quality,0,joy,positive,non-complaint
6,"satisfied . happy product really irritating install many apps like music player, applock all. since biometric lock already there, ideally allow us use securing apps well.",1,sadness,negative,disapproval
7,good phone . battery life phone good fingerprint reader lock button handy too. camera shutter speed along speed focusing fastest overlooked camera specs focused topic buying phone.,0,sadness,negative,disapproval
8,samsung evo 64gb class 3 micro card . looking sandisk 64gb class3 card gopro7 slight research gopro website found card also suitable. function/ speed everything great biggest factor cost difference sandisk low cost alternative.reccommend use memory card 64 gb gopro,0,other,neutral,disapproval
9,great buy little overpriced online. . best class. average transfer rate.,0,joy,positive,non-complaint
10,किफायती अच्छा है। पेशेवरों 1 बड़ा डिस्प्ले फोन अच्छी बैटरी लाइफ 3 उपयोग हीटिंग 4 अच्छी आवाजऑडियो मेरे उपयोग अच्छी प्रोसेसिंग गति अच्छी रैम विपक्ष 1 टच स्क्रीन सटीक मुझे पड़ क्लिक बटन बार क्लिक एमआई सैमसंग पास सैमसंग ऐप हालांकि मेरे बेकार लगातार चलते रहते अपडेट रहते मेमोरी कब्जा लेते हटाया 3 ब्राइटनेस कंट्रोल अच्छा  अधिकतम ब्राइटनेस मिनिमम ब्राइटनेस कम अंतर 4 कैमरा ठीक,1,sadness,negative,blame
11,use product send . use product send kiya gaya hai .... already space full hai kisi cctv ki photo video hai es card per pack memory card per kaha se aaya yeh sab mai usko format bhi kar raha huu toh woh format nahi hoo raha hai,1,anger,negative,accusation
12,बेहतर बैटरी लाइफ। बैटरी लाइफ अच्छी फोन हैवी पतला हल्का वजन है। सामान्य कैमरा 48 एमपी कैमरा अच्छा वाइड एंगल मैक्रो कैमरा अच्छा पोर्ट्रेट कैमरा औसत है। कैमरे नाइट मोड,1,sadness,negative,disapproval
13,ಸ್ಯಾಮ್‌ಸಂಗ್‌ನಿಂದ ಉತ್ತಮ ಉತ್ಪನ್ನವು ಅನೇಕ ಸಾಧನಗಳಲ್ಲಿ ಬಳಸಬಹುದಾಗಿದೆ ಅಗತ್ಯ ಪರಿಕರಗಳನ್ನು ಸೇರಿಸುವುದರೊಂದಿಗೆ ಬಹು ಉದ್ದೇಶದ ಬಳಕೆಗಾಗಿ ಉತ್ತಮ ಉತ್ಪನ್ನ,0,joy,positive,non-complaint
14,"100% . product good quality wise, ring lil small push button creta",0,sadness,neutral,non-complaint
15,कैमरा खराब।  मिलाकर फोन ठीक है। खराब हिस्सा कैमरा 48 एमपी मजाक तस्वीरें पिक्सलेटेड हैं। दिन उजाले शूट ठीक दिखता ज़ूम खराब है। सैमसंग मुझे उम्मीद कैमरे वास्तव लायक बनाने अपडेट आएगा।,1,sadness,negative,disapproval
16,"value money, sleek . sleek design. quite light pocket. good performance. amazing display.",0,joy,positive,non-complaint
17,excellent . done job perfect,0,joy,positive,non-complaint
18,speedy! . genuine product,0,joy,positive,non-complaint
19,"exactly supposed do. . fast read write speeds, adequate storage capacity. easy install use. micro sd sd adaptor provided packet additional value money point. got mi 360 camera works like charm.",0,joy,positive,non-complaint
20,buy phone . camera poor quality. screen disply quality good redmi phone buy phone. never purchase samsung phone future. samsung marketing launching new products every day quality product poor. replaced redi phone used redimi phone never satisfied samsung.,1,sadness,negative,blame
21,कीमत अच्छा मोबाइल सैमसंग। OKhand रेट अच्छा मोबाइल। अच्छी बैटरी बेहतरीन कैमरा क्वालिटी। थैंक्स सैमसंग slightlysmilingface अगर बैक कवर ईयर फोन देते बेहतर,0,joy,neutral,non-complaint
22,camera achhi nahi hai . camera achhi nahi hai,1,sadness,negative,disapproval
23,"best camera price point. better one plus nord well . camera rating 5/5 super steady features videos. pictures better even 30k phones. front back camera. battery 4/5, 1.5 days normal use network 5/5, better prev one plus6 performance 4/5, good, nord overall 4.5/5.",0,joy,positive,no explicit reproach
24,शिजू जॉय मेमरी कार्ड चांगले परंतु ऑक्टोबर 2018 ला आणलेले डिसेंबर नंतर कार्यरत यात वायरलेस ऍक्सेसिबिलिटीमध्ये समस्या कॅमेरा ऍक्सेस करू शकण्यापूर्वी कॅमेरा वायफाय फक्त जवळ कनेक्ट,0,joy,positive,no explicit reproach
